,source,target,flags
20094,9972,T81719A,10000
20095,9972,T8172XA,10000
20096,99731,J95851,0
20097,99732,J9589,10000
20098,99739,J95859,10000
20099,99739,J9588,10000
20100,99739,J9589,10000
20101,99741,K9186,0
20102,99749,K9130,10000
20103,99749,K9131,10000
20104,99749,K9132,10000
20105,99749,K9181,10000
20106,99749,K9182,10000
20107,99749,K9183,10000
20108,99749,K9189,10000
20109,9975,N9989,10000
20110,99760,T879,10000
20111,99761,T8730,10000
20112,99762,T8740,10000
20113,99769,T8789,10000
20114,99771,T81710A,10000
20115,99772,T81711A,10000
20116,99779,T81718A,10000
20117,99779,T8172XA,10000
20118,99791,I973,0
20119,99799,E8989,10000
20120,99799,H59099,10000
20121,99799,H5988,10000
20122,99799,H5989,10000
20123,99799,I9789,10000
20124,99799,M9689,10000
20125,99800,T8110XA,10000
20126,99801,T8111XA,10000
20127,99802,T8112XA,10000
20128,99809,T8119XA,10000
20129,99811,D7801,10000
20130,99811,D7802,10000
20131,99811,D7821,10000
20132,99811,D7822,10000
20133,99811,E3601,10000
20134,99811,E3602,10000
20135,99811,E89810,10000
20136,99811,E89811,10000
20137,99811,G9731,10000
20138,99811,G9732,10000
20139,99811,G9751,10000
20140,99811,G9752,10000
20141,99811,H59111,10000
20142,99811,H59112,10000
20143,99811,H59113,10000
20144,99811,H59119,10000
20145,99811,H59121,10000
20146,99811,H59122,10000
20147,99811,H59123,10000
20148,99811,H59129,10000
20149,99811,H59311,10000
20150,99811,H59312,10000
20151,99811,H59313,10000
20152,99811,H59319,10000
20153,99811,H59321,10000
20154,99811,H59322,10000
20155,99811,H59323,10000
20156,99811,H59329,10000
20157,99811,H9521,10000
20158,99811,H9522,10000
20159,99811,H9541,10000
20160,99811,H9542,10000
20161,99811,I97410,10000
20162,99811,I97411,10000
20163,99811,I97418,10000
20164,99811,I9742,10000
20165,99811,I97610,10000
20166,99811,I97611,10000
20167,99811,I97618,10000
20168,99811,I97620,10000
20169,99811,J9561,10000
20170,99811,J9562,10000
20171,99811,J95830,10000
20172,99811,J95831,10000
20173,99811,K9161,10000
20174,99811,K9162,10000
20175,99811,K91840,10000
20176,99811,K91841,10000
20177,99811,L7601,10000
20178,99811,L7602,10000
20179,99811,L7621,10000
20180,99811,L7622,10000
20181,99811,M96810,10000
20182,99811,M96811,10000
20183,99811,M96830,10000
20184,99811,M96831,10000
20185,99811,N9961,10000
20186,99811,N9962,10000
20187,99811,N99820,10000
20188,99811,N99821,10000
20189,99812,D7801,10000
20190,99812,D7802,10000
20191,99812,D7831,10000
20192,99812,D7832,10000
20193,99812,E3601,10000
20194,99812,E3602,10000
20195,99812,E89820,10000
20196,99812,E89821,10000
20197,99812,G9731,10000
20198,99812,G9732,10000
20199,99812,G9761,10000
20200,99812,G9762,10000
20201,99812,H59111,10000
20202,99812,H59112,10000
20203,99812,H59113,10000
20204,99812,H59119,10000
20205,99812,H59121,10000
20206,99812,H59122,10000
20207,99812,H59123,10000
20208,99812,H59129,10000
20209,99812,H59331,10000
20210,99812,H59332,10000
20211,99812,H59333,10000
20212,99812,H59339,10000
20213,99812,H59341,10000
20214,99812,H59342,10000
20215,99812,H59343,10000
20216,99812,H59349,10000
20217,99812,H9521,10000
20218,99812,H9522,10000
20219,99812,H9551,10000
20220,99812,H9552,10000
20221,99812,I97410,10000
20222,99812,I97411,10000
20223,99812,I97418,10000
20224,99812,I9742,10000
20225,99812,I97621,10000
20226,99812,I97630,10000
20227,99812,I97631,10000
20228,99812,I97638,10000
20229,99812,J9561,10000
20230,99812,J9562,10000
20231,99812,J95860,10000
20232,99812,J95861,10000
20233,99812,K9161,10000
20234,99812,K9162,10000
20235,99812,K91870,10000
20236,99812,K91871,10000
20237,99812,L7601,10000
20238,99812,L7602,10000
20239,99812,L7631,10000
20240,99812,L7632,10000
20241,99812,M96810,10000
20242,99812,M96811,10000
20243,99812,M96840,10000
20244,99812,M96841,10000
20245,99812,N9961,10000
20246,99812,N9962,10000
20247,99812,N99840,10000
20248,99812,N99841,10000
20249,99813,D7833,10000
20250,99813,D7834,10000
20251,99813,E89822,10000
20252,99813,E89823,10000
20253,99813,G9763,10000
20254,99813,G9764,10000
20255,99813,H59351,10000
20256,99813,H59352,10000
20257,99813,H59353,10000
20258,99813,H59359,10000
20259,99813,H59361,10000
20260,99813,H59362,10000
20261,99813,H59363,10000
20262,99813,H59369,10000
20263,99813,H9553,10000
20264,99813,H9554,10000
20265,99813,I97622,10000
20266,99813,I97640,10000
20267,99813,I97641,10000
20268,99813,I97648,10000
20269,99813,J95862,10000
20270,99813,J95863,10000
20271,99813,K91872,10000
20272,99813,K91873,10000
20273,99813,L7633,10000
20274,99813,L7634,10000
20275,99813,M96842,10000
20276,99813,M96843,10000
20277,99813,N99842,10000
20278,99813,N99843,10000
20279,99813,T888XXA,10000
20280,9982,D7811,10000
20281,9982,D7812,10000
20282,9982,E3611,10000
20283,9982,E3612,10000
20284,9982,G9748,10000
20285,9982,G9749,10000
20286,9982,H59219,10000
20287,9982,H59229,10000
20288,9982,H9531,10000
20289,9982,H9532,10000
20290,9982,I9751,10000
20291,9982,I9752,10000
20292,9982,J9571,10000
20293,9982,J9572,10000
20294,9982,K9171,10000
20295,9982,K9172,10000
20296,9982,L7611,10000
20297,9982,L7612,10000
20298,9982,M96820,10000
20299,9982,M96821,10000
